Localidade;Bairro;Logradouro;Ponto Refer;Coordenadas;Numero;Desc Fato;Tipo;Data Fato;Faixa Hora;Dia;Latitude;Logitude
PORTO ALEGRE, RS;CENTRO;AV PRES JOAO GOULART;USINA DO GASOMETRO;AV PRES JOAO GOULART,  , PORTO ALEGRE, RS; ;FURTO DE VEICULO;Consumado;01/01/13;00:01 às 06:00;terça-feira  ;-30.0329304;-51.2397118
PORTO ALEGRE, RS;STA TEREZA;RUA   MARIANO DE MATOS; ;RUA   MARIANO DE MATOS, 72, PORTO ALEGRE, RS;72;FURTO DE VEICULO;Consumado;01/01/13;06:01 às 12:00;terça-feira  ;-30.0607243;-51.2188606
PORTO ALEGRE, RS;VL ARACA L PINHEIRO;RUA   ARACA; ;RUA   ARACA, 395, PORTO ALEGRE, RS;395;FURTO DE VEICULO;Consumado;01/01/13;06:01 às 12:00;terça-feira  ;-30.2247601;-51.0903702
PORTO ALEGRE, RS;B NOVO - LAMI;AV   LAMI; ;AV   LAMI, 510, PORTO ALEGRE, RS;510;FURTO DE VEICULO;Consumado;01/01/13;12:01 às 18:00;terça-feira  ;-30.2112789;-51.1747322
PORTO ALEGRE, RS;SANTANA;RUA   JACINTO GOMES; ;RUA   JACINTO GOMES, 100, PORTO ALEGRE, RS;100;FURTO DE VEICULO;Consumado;02/01/13;00:01 às 06:00;quarta-feira ;-30.03825;-51.2093086
PORTO ALEGRE, RS;S JOSE;RUA   ENCANTADORA; ;RUA   ENCANTADORA, 140, PORTO ALEGRE, RS;140;FURTO DE VEICULO;Consumado;02/01/13;00:01 às 06:00;quarta-feira ;-30.0703735;-51.1523819
PORTO ALEGRE, RS;PARTENON;RUA   PAULINO AZURENHA; ;RUA   PAULINO AZURENHA, 300, PORTO ALEGRE, RS;300;FURTO DE VEICULO;Consumado;02/01/13;06:01 às 12:00;quarta-feira ;-30.0634289;-51.1919212
PORTO ALEGRE, RS;CAVALHADA;AV   CAVALHADA;REVENDA CARUCCIO;AV   CAVALHADA, 3084, PORTO ALEGRE, RS;3084;FURTO DE VEICULO;Consumado;02/01/13;06:01 às 12:00;quarta-feira ;-30.1102409;-51.2271957
PORTO ALEGRE, RS;AZENHA;RUA   FLORIANOPOLIS;EM FRENTE AO MOTEL POR DO SOL;RUA   FLORIANOPOLIS,  , PORTO ALEGRE, RS; ;FURTO DE VEICULO;Consumado;02/01/13;06:01 às 12:00;quarta-feira ;-30.0564194;-51.2133904
PORTO ALEGRE, RS;SANTANA;RUA   DOMINGOS CRESCENCIO;IGREJA SAO FRANCISCO DE ASSIS;RUA   DOMINGOS CRESCENCIO, 899, PORTO ALEGRE, RS;899;FURTO DE VEICULO;Consumado;02/01/13;06:01 às 12:00;quarta-feira ;-30.0464611;-51.2017441
PORTO ALEGRE, RS;S JOAO;AV   SEVERO DULLIUS;FRENTE AO AEROPORTO;AV   SEVERO DULLIUS,  , PORTO ALEGRE, RS; ;FURTO DE VEICULO;Consumado;02/01/13;06:01 às 12:00;quarta-feira ;-29.9885101;-51.1766586
