Localidade;Bairro;Logradouro;Ponto Refer;Coordenadas;Numero;Desc Fato;Tipo;Data Fato;Faixa Hora;Dia;Latitude;Logitude
PORTO ALEGRE, RS;P BELAS/AZENHA;AV   IPIRANGA; ;AV   IPIRANGA, 8453, PORTO ALEGRE, RS;8453;ROUBO DE VEICULO;Consumado;01/01/13;00:01 às 06:00;terça-feira   ;-30.0602646;-51.1520996
PORTO ALEGRE, RS;GLORIA;RUA MAL 9 MESQUITA;MAR. MESQUITA, NR. 15;RUA MAL 9 MESQUITA, 15, PORTO ALEGRE, RS;15;ROUBO DE VEICULO;Consumado;01/01/13;18:01 às 24:00;terça-feira   ;-29.9929352;-51.1045303
PORTO ALEGRE, RS;S SEBASTIAO;RUA   JOAQUIM SILVEIRA;SAO SEBASTIAO;RUA   JOAQUIM SILVEIRA, 453, PORTO ALEGRE, RS;453;ROUBO DE VEICULO;Consumado;02/01/13;06:01 às 12:00;quarta-feira  ;-30.0062656;-51.1425552
PORTO ALEGRE, RS;L PINHEIRO;ESTR   JOAO DE OLIVEIRA REMIAO;PARADA 02;ESTR   JOAO DE OLIVEIRA REMIAO,  , PORTO ALEGRE, RS; ;ROUBO DE VEICULO;Consumado;02/01/13;12:01 às 18:00;quarta-feira  ;-30.0762291;-51.1316414
PORTO ALEGRE, RS;NONOAI;RUA   MATHILDE ZATAR; ;RUA   MATHILDE ZATAR, 96, PORTO ALEGRE, RS;96;ROUBO DE VEICULO;Consumado;02/01/13;12:01 às 18:00;quarta-feira  ;-30.0881863;-51.2139244
PORTO ALEGRE, RS; ;RUA DR ALFREDO MATHIAS WILTGEN;LEONARDO MACEDONIA;RUA DR ALFREDO MATHIAS WILTGEN, 535, PORTO ALEGRE, RS;535;ROUBO DE VEICULO;Consumado;02/01/13;12:01 às 18:00;quarta-feira  ;-30.0203114;-51.1773643
PORTO ALEGRE, RS;S JOSE;RUA   MOACIR SANTANA;CONDOMINIO JARDIM GUANABARA;RUA   MOACIR SANTANA,  , PORTO ALEGRE, RS; ;ROUBO DE VEICULO;Consumado;02/01/13;18:01 às 24:00;quarta-feira  ;-30.0587692;-51.1612701
PORTO ALEGRE, RS;NONOAI;RUA   MENEZES PAREDES; ;RUA   MENEZES PAREDES, 182, PORTO ALEGRE, RS;182;ROUBO DE VEICULO COM LESOES;Consumado;02/01/13;18:01 às 24:00;quarta-feira  ;-30.0904808;-51.2219963
PORTO ALEGRE, RS;B JESUS;RUA   ANERON CORREA DE OLIVEIRA; ;RUA   ANERON CORREA DE OLIVEIRA, 208, PORTO ALEGRE, RS;208;ROUBO DE VEICULO;Consumado;02/01/13;18:01 às 24:00;quarta-feira  ;-30.0474949;-51.1701393
PORTO ALEGRE, RS; ;RUA DUQUE CAXIAS;JERONIMO COELHO;RUA DUQUE CAXIAS, 1655, PORTO ALEGRE, RS;1655;ROUBO DE VEICULO;Consumado;02/01/13;18:01 às 24:00;quarta-feira  ;-30.0325546;-51.2248726
